Objects
300
,,Global Angle Robot_1:Robot_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
328,0,-0.006755,-0.016875,0.007495,228.077667,-1250.382080,178.212372
329,0,-0.006538,-0.016779,0.007346,228.077026,-1250.374390,178.203766
330,0,-0.006554,-0.016718,0.007423,228.076050,-1250.375000,178.200394
331,0,-0.006707,-0.016983,0.007542,228.078964,-1250.374756,178.195786
332,0,-0.006779,-0.016777,0.007505,228.072266,-1250.372803,178.201691
333,0,-0.006560,-0.016830,0.007578,228.063065,-1250.391113,178.220901
334,0,-0.006627,-0.016949,0.007510,228.074387,-1250.388062,178.226151
335,0,-0.006688,-0.017198,0.007378,228.065140,-1250.375244,178.204285
336,0,-0.006778,-0.016824,0.007532,228.084579,-1250.375732,178.210648
337,0,-0.006596,-0.017143,0.007326,228.069824,-1250.378662,178.204163
338,0,-0.006596,-0.017164,0.007467,228.078918,-1250.385132,178.206802
339,0,-0.006658,-0.016846,0.007573,228.074921,-1250.378784,178.196167
340,0,-0.006620,-0.017189,0.007413,228.078918,-1250.365234,178.202469
341,0,-0.006644,-0.016961,0.007448,228.080429,-1250.372314,178.213593
342,0,-0.006622,-0.017098,0.007381,228.075073,-1250.370605,178.199203
343,0,-0.006735,-0.017221,0.007510,228.076065,-1250.363892,178.200928
344,0,-0.006608,-0.016823,0.007436,228.076035,-1250.378296,178.205154
345,0,-0.006730,-0.017230,0.007326,228.077576,-1250.375488,178.202057
346,0,-0.006665,-0.016530,0.007477,228.083664,-1250.376831,178.210739
347,0,-0.006788,-0.016616,0.007506,228.080139,-1250.378906,178.206177
348,0,-0.006638,-0.016947,0.007323,228.074463,-1250.376221,178.202103
349,0,-0.006687,-0.017193,0.007462,228.064072,-1250.370850,178.209320
350,0,-0.006580,-0.016607,0.007411,228.068161,-1250.385376,178.216095
351,0,-0.006569,-0.016574,0.007500,228.069977,-1250.365845,178.192520
352,0,-0.006584,-0.016953,0.007539,228.074707,-1250.375244,178.201447
353,0,-0.006716,-0.016843,0.007379,228.078094,-1250.364502,178.197342
354,0,-0.006680,-0.016769,0.007560,228.067032,-1250.375366,178.208435
355,0,-0.006638,-0.016625,0.007466,228.076660,-1250.386475,178.217224
356,0,-0.006683,-0.016771,0.007468,228.067642,-1250.366821,178.202682
357,0,-0.006575,-0.016997,0.007500,228.073105,-1250.387573,178.207809
